epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,1208.75,0.98657,2.67806,1.89301,1.12728,0,0.54113,0.42857,0.35623,0.20225,0.81576,0.25,0.29225,0.09033,1.65309,9.49718,5.97449,1.92356,0,0.0008086,0.0008086,0.0008086
31,1245.79,0.90715,2.40203,1.73146,1.11634,0,0.54113,0.42857,0.35623,0.20225,0.81576,0.25,0.29225,0.09033,1.65309,9.49718,5.97449,1.92356,0,0.000802,0.000802,0.000802
32,1286.8,0.86011,2.30168,1.54282,1.05644,0,0.54113,0.42857,0.35623,0.20225,0.81576,0.25,0.29225,0.09033,1.65309,9.49718,5.97449,1.92356,0,0.0007954,0.0007954,0.0007954
33,1322.77,0.88555,2.42864,1.62609,1.0838,0,0.54113,0.42857,0.35623,0.20225,0.81576,0.25,0.29225,0.09033,1.65309,9.49718,5.97449,1.92356,0,0.0007888,0.0007888,0.0007888
34,1361.65,0.88843,2.37957,1.6613,1.0812,0,0.68171,0.27381,0.24935,0.17699,0.74969,0.27381,0.25251,0.06961,1.86629,8.365,6.35989,2.04736,0,0.0007822,0.0007822,0.0007822
35,1397.9,0.88534,2.34529,1.53199,1.09986,0,0.68171,0.27381,0.24935,0.17699,0.74969,0.27381,0.25251,0.06961,1.86629,8.365,6.35989,2.04736,0,0.0007756,0.0007756,0.0007756
36,1435.56,0.88676,2.43025,1.57365,1.10443,0,0.68171,0.27381,0.24935,0.17699,0.74969,0.27381,0.25251,0.06961,1.86629,8.365,6.35989,2.04736,0,0.000769,0.000769,0.000769
37,1470.84,0.84256,2.36782,1.51782,1.07023,0,0.68171,0.27381,0.24935,0.17699,0.74969,0.27381,0.25251,0.06961,1.86629,8.365,6.35989,2.04736,0,0.0007624,0.0007624,0.0007624
38,1507.14,0.92554,2.45625,1.55095,1.13804,0,0.60705,0.27381,0.19944,0.13391,0.63861,0.35714,0.27922,0.08003,1.55699,5.57502,4.53155,1.86987,0,0.0007558,0.0007558,0.0007558
39,1548.43,0.95318,2.30432,1.62234,1.12995,0,0.60705,0.27381,0.19944,0.13391,0.63861,0.35714,0.27922,0.08003,1.55699,5.57502,4.53155,1.86987,0,0.0007492,0.0007492,0.0007492
