epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
119,4517.93,0.46056,0.93811,0.46405,0.87416,0,0.4382,0.46429,0.54308,0.32462,0.63983,0.4412,0.477,0.20595,1.28084,3.76471,2.68068,1.56781,0,0.0002212,0.0002212,0.0002212
120,4550.08,0.46086,0.92396,0.43783,0.85633,0,0.4382,0.46429,0.54308,0.32462,0.63983,0.4412,0.477,0.20595,1.28084,3.76471,2.68068,1.56781,0,0.0002146,0.0002146,0.0002146
121,4583.3,0.4501,0.91188,0.46439,0.84614,0,0.4382,0.46429,0.54308,0.32462,0.63983,0.4412,0.477,0.20595,1.28084,3.76471,2.68068,1.56781,0,0.000208,0.000208,0.000208
122,4618.07,0.44184,0.89468,0.42956,0.85696,0,0.38364,0.54917,0.53228,0.31024,0.65873,0.43401,0.44528,0.19778,1.29403,3.61049,2.63763,1.57961,0,0.0002014,0.0002014,0.0002014
123,4653.1,0.44689,0.97173,0.46235,0.84815,0,0.38364,0.54917,0.53228,0.31024,0.65873,0.43401,0.44528,0.19778,1.29403,3.61049,2.63763,1.57961,0,0.0001948,0.0001948,0.0001948
124,4687.94,0.44464,0.90874,0.44513,0.86704,0,0.38364,0.54917,0.53228,0.31024,0.65873,0.43401,0.44528,0.19778,1.29403,3.61049,2.63763,1.57961,0,0.0001882,0.0001882,0.0001882
125,4722.05,0.44713,0.91919,0.44925,0.85138,0,0.38364,0.54917,0.53228,0.31024,0.65873,0.43401,0.44528,0.19778,1.29403,3.61049,2.63763,1.57961,0,0.0001816,0.0001816,0.0001816
126,4754.61,0.47358,0.94957,0.46958,0.87322,0,0.38838,0.55275,0.55223,0.33086,0.69661,0.4264,0.4596,0.2166,1.28478,3.42137,2.7297,1.57898,0,0.000175,0.000175,0.000175
127,4793.88,0.44211,0.89082,0.4202,0.86186,0,0.38838,0.55275,0.55223,0.33086,0.69661,0.4264,0.4596,0.2166,1.28478,3.42137,2.7297,1.57898,0,0.0001684,0.0001684,0.0001684
128,4832.4,0.44921,0.9363,0.44451,0.86685,0,0.38838,0.55275,0.55223,0.33086,0.69661,0.4264,0.4596,0.2166,1.28478,3.42137,2.7297,1.57898,0,0.0001618,0.0001618,0.0001618
129,4868.52,0.47727,1.00345,0.49059,0.88598,0,0.38838,0.55275,0.55223,0.33086,0.69661,0.4264,0.4596,0.2166,1.28478,3.42137,2.7297,1.57898,0,0.0001552,0.0001552,0.0001552
130,4905.87,0.47084,0.95136,0.44072,0.88043,0,0.73046,0.39133,0.54828,0.304,0.73046,0.39133,0.47569,0.20951,1.28478,3.29765,2.70218,1.58415,0,0.0001486,0.0001486,0.0001486
131,4941.98,0.44233,0.83651,0.42355,0.83421,0,0.73046,0.39133,0.54828,0.304,0.73046,0.39133,0.47569,0.20951,1.28478,3.29765,2.70218,1.58415,0,0.000142,0.000142,0.000142
132,4975.54,0.42659,0.86613,0.41757,0.8607,0,0.73046,0.39133,0.54828,0.304,0.73046,0.39133,0.47569,0.20951,1.28478,3.29765,2.70218,1.58415,0,0.0001354,0.0001354,0.0001354
133,5012.96,0.41979,0.86409,0.42783,0.84556,0,0.73046,0.39133,0.54828,0.304,0.73046,0.39133,0.47569,0.20951,1.28478,3.29765,2.70218,1.58415,0,0.0001288,0.0001288,0.0001288
134,5051.73,0.42491,0.83853,0.42198,0.84607,0,0.73328,0.40242,0.54047,0.29413,0.72266,0.3918,0.46026,0.19902,1.30203,3.29311,2.78761,1.59393,0,0.0001222,0.0001222,0.0001222
135,5087.79,0.41269,0.86025,0.41446,0.8399,0,0.73328,0.40242,0.54047,0.29413,0.72266,0.3918,0.46026,0.19902,1.30203,3.29311,2.78761,1.59393,0,0.0001156,0.0001156,0.0001156
136,5126.24,0.42332,0.85116,0.40649,0.85186,0,0.73328,0.40242,0.54047,0.29413,0.72266,0.3918,0.46026,0.19902,1.30203,3.29311,2.78761,1.59393,0,0.000109,0.000109,0.000109
137,5161.47,0.45188,0.93565,0.44638,0.85763,0,0.73328,0.40242,0.54047,0.29413,0.72266,0.3918,0.46026,0.19902,1.30203,3.29311,2.78761,1.59393,0,0.0001024,0.0001024,0.0001024
138,5199.01,0.43154,0.87505,0.417,0.85079,0,0.51342,0.56045,0.57641,0.30969,0.71935,0.39221,0.45194,0.20702,1.31049,3.39364,2.85421,1.59919,0,9.58e-05,9.58e-05,9.58e-05
139,5240.19,0.4005,0.83589,0.39845,0.84137,0,0.51342,0.56045,0.57641,0.30969,0.71935,0.39221,0.45194,0.20702,1.31049,3.39364,2.85421,1.59919,0,8.92e-05,8.92e-05,8.92e-05
140,5278.42,0.41878,0.81695,0.41138,0.84259,0,0.51342,0.56045,0.57641,0.30969,0.71935,0.39221,0.45194,0.20702,1.31049,3.39364,2.85421,1.59919,0,8.26e-05,8.26e-05,8.26e-05
141,5318.82,0.42429,0.86792,0.42481,0.84693,0,0.51342,0.56045,0.57641,0.30969,0.71935,0.39221,0.45194,0.20702,1.31049,3.39364,2.85421,1.59919,0,7.6e-05,7.6e-05,7.6e-05
142,5362.18,0.39489,0.79347,0.39336,0.8345,0,0.57996,0.51381,0.57428,0.30858,0.70174,0.3869,0.45107,0.18574,1.29721,3.41453,2.87471,1.59233,0,6.94e-05,6.94e-05,6.94e-05
143,5403.93,0.41596,0.84387,0.409,0.85091,0,0.57996,0.51381,0.57428,0.30858,0.70174,0.3869,0.45107,0.18574,1.29721,3.41453,2.87471,1.59233,0,6.28e-05,6.28e-05,6.28e-05
144,5446.2,0.43016,0.84667,0.42592,0.84947,0,0.57996,0.51381,0.57428,0.30858,0.70174,0.3869,0.45107,0.18574,1.29721,3.41453,2.87471,1.59233,0,5.62e-05,5.62e-05,5.62e-05
145,5479.52,0.43268,0.85778,0.423,0.83899,0,0.57996,0.51381,0.57428,0.30858,0.70174,0.3869,0.45107,0.18574,1.29721,3.41453,2.87471,1.59233,0,4.96e-05,4.96e-05,4.96e-05
146,5514.57,0.41818,0.87304,0.40873,0.84225,0,0.57742,0.51396,0.57657,0.30553,0.69638,0.3869,0.45636,0.19652,1.28948,3.42682,2.86581,1.58851,0,4.3e-05,4.3e-05,4.3e-05
147,5553.22,0.38724,0.78421,0.38071,0.84085,0,0.57742,0.51396,0.57657,0.30553,0.69638,0.3869,0.45636,0.19652,1.28948,3.42682,2.86581,1.58851,0,3.64e-05,3.64e-05,3.64e-05
148,5590.73,0.40564,0.8867,0.42224,0.82007,0,0.57742,0.51396,0.57657,0.30553,0.69638,0.3869,0.45636,0.19652,1.28948,3.42682,2.86581,1.58851,0,2.98e-05,2.98e-05,2.98e-05
149,5626.38,0.40946,0.85343,0.42206,0.85213,0,0.57742,0.51396,0.57657,0.30553,0.69638,0.3869,0.45636,0.19652,1.28948,3.42682,2.86581,1.58851,0,2.32e-05,2.32e-05,2.32e-05
150,5664.78,0.39302,0.82634,0.40458,0.84971,0,0.58131,0.5116,0.5755,0.30981,0.69731,0.3869,0.45636,0.19696,1.27788,3.43717,2.8651,1.57273,0,1.66e-05,1.66e-05,1.66e-05
